Name,Sex,Birth Date,Strain,Genotype,Generation,Parent Mating ID,Dam(s),Location,Tag,Cells,Housing ID,Group,Tag
A-25-CD2-001,Male,8/19/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-01,"A-25-BALBCJ-001, A-25-BALBCJ-002",D-2,Brown,CD26,H-CD2F1-01,CT-26 Uniform 3:0,S2
A-25-CD2-002,Male,8/19/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-01,"A-25-BALBCJ-001, A-25-BALBCJ-002",D-2,Red,CD26,H-CD2F1-01,CT-26 Uniform 3:0,S3
A-25-CD2-003,Male,8/19/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-01,"A-25-BALBCJ-001, A-25-BALBCJ-002",D-2,Black,CD26,H-CD2F1-01,CT-26 Uniform 3:0,S4
A-25-CD2-004,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-02,"A-25-BALBCJ-003, A-25-BALBCJ-004",C-3,Brown,CD26,H-CD2F1-02,CT-26 Uniform 3:0,S2
A-25-CD2-005,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-02,"A-25-BALBCJ-003, A-25-BALBCJ-004",C-3,Red,CD26,H-CD2F1-02,CT-26 Uniform 3:0,S3
A-25-CD2-006,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-02,"A-25-BALBCJ-003, A-25-BALBCJ-004",C-3,Black,CD26,H-CD2F1-02,CT-26 Uniform 3:0,S4
A-25-CD2-007,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-03,"A-25-BALBCJ-005, A-25-BALBCJ-006",E-3,Brown,CD26,H-CD2F1-03,CT-26 Uniform 3:0,S2
A-25-CD2-008,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-03,"A-25-BALBCJ-005, A-25-BALBCJ-006",E-3,Red,CD26,H-CD2F1-03,CT-26 Uniform 3:0,S3
A-25-CD2-009,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-03,"A-25-BALBCJ-005, A-25-BALBCJ-006",E-3,Black,CD26,H-CD2F1-03,CT-26 Uniform 3:0,S4
A-25-CD2-010,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-05,"A-25-BALBCJ-009, A-25-BALBCJ-010",D-4,Brown,CD26,H-CD2F1-04,CT-26 Uniform 3:0,S2
A-25-CD2-011,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-05,"A-25-BALBCJ-009, A-25-BALBCJ-010",D-4,Red,CD26,H-CD2F1-04,CT-26 Uniform 3:0,S3
A-25-CD2-012,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-05,"A-25-BALBCJ-009, A-25-BALBCJ-010",D-4,Black,CD26,H-CD2F1-04,CT-26 Uniform 3:0,S4
A-25-CD2-013,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-06,"A-25-BALBCJ-011, A-25-BALBCJ-012",F-4,Brown,CD26,H-CD2F1-05,CT-26 Uniform 3:0,S2
A-25-CD2-014,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-06,"A-25-BALBCJ-011, A-25-BALBCJ-012",F-4,Red,CD26,H-CD2F1-05,CT-26 Uniform 3:0,S3
